Sucursal,Producto,Año,Mes,Unidades_vendidas,Ingreso_total,Costo_total
Sucursal Norte,Coca Cola,2020,1,10351,21823684.27,15289681.14
Sucursal Norte,Fanta,2020,1,2171,4006258.28,3036254.58
Sucursal Norte,Sprite,2020,1,8210,15230441.59,9782430.19
Sucursal Norte,7 Up,2020,1,977,1548566.2,1079168.57
Sucursal Norte,Pepsi,2020,1,7771,12997959.75,9803353.31
Sucursal Centro,Coca Cola,2020,1,10025,19190159.59,13187374.25
Sucursal Centro,Fanta,2020,1,1806,3234557.03,2302661.75
Sucursal Centro,Sprite,2020,1,7788,15078455.88,9862807.65
Sucursal Centro,7 Up,2020,1,1070,1700813.14,1312286.24
Sucursal Centro,Pepsi,2020,1,7510,12939059.15,8008779.77
Sucursal Sur,Coca Cola,2020,1,10319,19535816.53,14538816.25
Sucursal Sur,Fanta,2020,1,2071,3799168.42,2755585.23
Sucursal Sur,Sprite,2020,1,8055,15600423.65,9801550.98
Sucursal Sur,7 Up,2020,1,1038,1495852.07,1006875.41
Sucursal Sur,Pepsi,2020,1,7835,12406385.65,9207297.05
Sucursal Norte,Coca Cola,2020,2,10136,18796713.2,11520810.98
Sucursal Norte,Fanta,2020,2,1857,3186791.37,2535772.72
Sucursal Norte,Sprite,2020,2,7328,15109045.23,11978092.59
Sucursal Norte,7 Up,2020,2,1097,1670134.28,1002863.91
Sucursal Norte,Pepsi,2020,2,7881,14356488.4,9875975.9
Sucursal Centro,Coca Cola,2020,2,10320,19250415.32,12192580.32
Sucursal Centro,Fanta,2020,2,2064,3488204.71,2462792.79
Sucursal Centro,Sprite,2020,2,8063,14379027.97,9992968.94
Sucursal Centro,7 Up,2020,2,948,1422301.31,910169.66
Sucursal Centro,Pepsi,2020,2,8519,13598599.2,9230776.09
Sucursal Sur,Coca Cola,2020,2,10252,21134267.75,15009334.39
Sucursal Sur,Fanta,2020,2,2007,3566447.68,2345658.63
Sucursal Sur,Sprite,2020,2,8096,14787481.32,10984885.34
Sucursal Sur,7 Up,2020,2,939,1302880.05,883941.87
Sucursal Sur,Pepsi,2020,2,7921,14803223.46,11772707.91
Sucursal Norte,Coca Cola,2020,3,9318,19327022.13,12986546.0
Sucursal Norte,Fanta,2020,3,1867,3391482.16,2114897.8
Sucursal Norte,Sprite,2020,3,7848,14076910.3,10200833.12
Sucursal Norte,7 Up,2020,3,1011,1388030.35,996288.14
Sucursal Norte,Pepsi,2020,3,7600,13099597.36,10328759.24
Sucursal Centro,Coca Cola,2020,3,9680,20606488.51,14308766.2
Sucursal Centro,Fanta,2020,3,2125,4111383.89,2756295.79
Sucursal Centro,Sprite,2020,3,8796,15518262.38,10469318.57
Sucursal Centro,7 Up,2020,3,911,1320462.45,1025404.76
Sucursal Centro,Pepsi,2020,3,7592,14103623.89,9026999.62
Sucursal Sur,Coca Cola,2020,3,9652,20819071.81,15795505.95
Sucursal Sur,Fanta,2020,3,1917,3164180.46,2362773.43
Sucursal Sur,Sprite,2020,3,8620,17444035.61,13796612.11
Sucursal Sur,7 Up,2020,3,945,1443141.12,1096197.33
Sucursal Sur,Pepsi,2020,3,7534,13426994.87,9034887.19
Sucursal Norte,Coca Cola,2020,4,9984,19910079.49,13386809.56
Sucursal Norte,Fanta,2020,4,1833,2994242.32,2032035.56
Sucursal Norte,Sprite,2020,4,7764,15777443.91,11940510.11
Sucursal Norte,7 Up,2020,4,992,1346170.55,926986.25
Sucursal Norte,Pepsi,2020,4,7384,12707196.55,9232418.33
Sucursal Centro,Coca Cola,2020,4,10046,19256418.98,15369117.02
Sucursal Centro,Fanta,2020,4,1897,3512327.77,2420284.58
Sucursal Centro,Sprite,2020,4,7815,14251975.77,10654719.41
Sucursal Centro,7 Up,2020,4,1007,1415725.32,1127503.77
Sucursal Centro,Pepsi,2020,4,8015,14939329.03,10959320.86
Sucursal Sur,Coca Cola,2020,4,9578,18410442.27,14359694.14
Sucursal Sur,Fanta,2020,4,1938,3592531.07,2311256.98
Sucursal Sur,Sprite,2020,4,8650,16615869.03,10680243.3
Sucursal Sur,7 Up,2020,4,901,1482318.56,988325.53
Sucursal Sur,Pepsi,2020,4,7846,13506380.79,8590472.4
Sucursal Norte,Coca Cola,2020,5,9848,19081411.94,15254789.74
Sucursal Norte,Fanta,2020,5,1817,3499755.89,2253678.85
Sucursal Norte,Sprite,2020,5,7848,15038792.42,9590199.05
Sucursal Norte,7 Up,2020,5,1076,1609124.37,1159748.91
Sucursal Norte,Pepsi,2020,5,7957,14776473.67,11296495.51
Sucursal Centro,Coca Cola,2020,5,9908,18324791.75,14624781.56
Sucursal Centro,Fanta,2020,5,2112,4169314.65,2616343.74
Sucursal Centro,Sprite,2020,5,7536,13339317.32,10390983.19
Sucursal Centro,7 Up,2020,5,1096,1767226.73,1363428.96
Sucursal Centro,Pepsi,2020,5,8500,15774356.65,12189128.57
Sucursal Sur,Coca Cola,2020,5,10926,20433670.42,14031554.61
Sucursal Sur,Fanta,2020,5,1984,3435614.7,2124317.03
Sucursal Sur,Sprite,2020,5,7560,13503867.81,8127943.41
Sucursal Sur,7 Up,2020,5,935,1483923.96,977571.93
Sucursal Sur,Pepsi,2020,5,7886,14277804.63,9443984.94
Sucursal Norte,Coca Cola,2020,6,9934,19253348.72,12869167.43
Sucursal Norte,Fanta,2020,6,1907,3387992.31,2219302.61
Sucursal Norte,Sprite,2020,6,7351,14058521.0,8790177.22
Sucursal Norte,7 Up,2020,6,1024,1483814.31,1064223.04
Sucursal Norte,Pepsi,2020,6,7334,13379030.81,9201824.29
Sucursal Centro,Coca Cola,2020,6,9186,16736366.66,13325004.44
Sucursal Centro,Fanta,2020,6,2050,3556797.09,2518654.0
Sucursal Centro,Sprite,2020,6,8063,16322170.78,10681200.24
Sucursal Centro,7 Up,2020,6,931,1360936.98,998043.48
Sucursal Centro,Pepsi,2020,6,8654,14498938.81,8957167.3
Sucursal Sur,Coca Cola,2020,6,10174,21680126.51,16236721.75
Sucursal Sur,Fanta,2020,6,1964,3827256.46,2717428.74
Sucursal Sur,Sprite,2020,6,7346,13415266.12,8595385.44
Sucursal Sur,7 Up,2020,6,980,1353978.39,1081471.32
Sucursal Sur,Pepsi,2020,6,7498,13781847.84,8555619.21
Sucursal Norte,Coca Cola,2020,7,10973,23675513.44,18876917.59
Sucursal Norte,Fanta,2020,7,2131,4136216.17,3067197.02
Sucursal Norte,Sprite,2020,7,7307,15016983.28,11859605.41
Sucursal Norte,7 Up,2020,7,1054,1513321.13,1201194.95
Sucursal Norte,Pepsi,2020,7,7961,14306896.72,10956711.93
Sucursal Centro,Coca Cola,2020,7,10775,20904910.75,13047283.06
Sucursal Centro,Fanta,2020,7,1973,3757361.04,2518154.78
Sucursal Centro,Sprite,2020,7,8606,15492688.6,11331910.4
Sucursal Centro,7 Up,2020,7,917,1342463.34,954280.94
Sucursal Centro,Pepsi,2020,7,8607,14132291.39,11122139.39
Sucursal Sur,Coca Cola,2020,7,9593,19231669.06,14601763.6
Sucursal Sur,Fanta,2020,7,1922,3294070.04,2169109.22
Sucursal Sur,Sprite,2020,7,8333,16977203.21,11834485.64
Sucursal Sur,7 Up,2020,7,918,1462129.02,897741.17
Sucursal Sur,Pepsi,2020,7,8509,15340172.29,11003680.58
Sucursal Norte,Coca Cola,2020,8,9610,18034741.5,12984308.03
Sucursal Norte,Fanta,2020,8,1949,3440001.57,2472059.3
Sucursal Norte,Sprite,2020,8,7213,12814400.08,9696783.69
Sucursal Norte,7 Up,2020,8,1058,1546677.55,1142078.01
Sucursal Norte,Pepsi,2020,8,7908,14263548.86,11400693.66
Sucursal Centro,Coca Cola,2020,8,9726,17681901.89,12074594.9
Sucursal Centro,Fanta,2020,8,2141,3652705.81,2863530.78
Sucursal Centro,Sprite,2020,8,7619,14913953.01,9010882.21
Sucursal Centro,7 Up,2020,8,1093,1535962.5,1166020.11
Sucursal Centro,Pepsi,2020,8,7394,11360803.12,7309219.88
Sucursal Sur,Coca Cola,2020,8,9983,20210797.0,15672706.12
Sucursal Sur,Fanta,2020,8,2082,3662785.97,2617453.36
Sucursal Sur,Sprite,2020,8,8224,16275718.71,12114721.83
Sucursal Sur,7 Up,2020,8,988,1396780.24,1112162.32
Sucursal Sur,Pepsi,2020,8,8180,15026434.91,11859672.49
Sucursal Norte,Coca Cola,2020,9,9387,19916710.26,14100384.81
Sucursal Norte,Fanta,2020,9,1986,3256270.02,2275684.8
Sucursal Norte,Sprite,2020,9,8601,16783065.65,11793998.92
Sucursal Norte,7 Up,2020,9,1008,1385206.3,966918.22
Sucursal Norte,Pepsi,2020,9,7934,12618377.74,8269883.75
Sucursal Centro,Coca Cola,2020,9,9673,20778135.67,13714188.21
Sucursal Centro,Fanta,2020,9,1829,3535913.0,2771939.85
Sucursal Centro,Sprite,2020,9,7478,13972569.61,9591979.4
Sucursal Centro,7 Up,2020,9,1072,1701848.73,1259544.01
Sucursal Centro,Pepsi,2020,9,7941,12621029.52,7712803.62
Sucursal Sur,Coca Cola,2020,9,10150,19636664.43,14335646.45
Sucursal Sur,Fanta,2020,9,2158,3521121.6,2266147.57
Sucursal Sur,Sprite,2020,9,7463,15534191.27,9363967.09
Sucursal Sur,7 Up,2020,9,1029,1403791.66,1038525.33
Sucursal Sur,Pepsi,2020,9,8497,14038739.45,10869262.9
Sucursal Norte,Coca Cola,2020,10,9473,19359475.05,13099805.84
Sucursal Norte,Fanta,2020,10,1983,3255685.68,2084914.97
Sucursal Norte,Sprite,2020,10,8725,18229182.03,14574078.13
Sucursal Norte,7 Up,2020,10,911,1287311.44,944677.27
Sucursal Norte,Pepsi,2020,10,8278,13791406.81,10084182.08
Sucursal Centro,Coca Cola,2020,10,10027,18305327.38,12483054.7
Sucursal Centro,Fanta,2020,10,1874,3641824.36,2504784.09
Sucursal Centro,Sprite,2020,10,7694,14056449.91,9700758.67
Sucursal Centro,7 Up,2020,10,1066,1660970.73,1300373.91
Sucursal Centro,Pepsi,2020,10,8762,15989575.93,11487203.94
Sucursal Sur,Coca Cola,2020,10,9150,19865499.01,14416891.59
Sucursal Sur,Fanta,2020,10,1977,3266217.64,2146339.84
Sucursal Sur,Sprite,2020,10,7411,14022586.57,10295910.66
Sucursal Sur,7 Up,2020,10,922,1279795.22,958553.55
Sucursal Sur,Pepsi,2020,10,7283,11382785.77,7376881.24
